"I have read, understood and signed the informed consent form handed out during the lecture and I consent to taking part in this study.",How many years of programming experience do you have?,How many programming languages do you use for hobby projects?,How do you judge your programming skills? ,How would you judge yourself as a programmer?,Have you every written code that has been used outside of the university context? ,Have you ever worked in a programming team with three or more members outside of university?,How many open source projects have you contributed to?,Have you ever been paid for programming work?,Have you every contributed more than 1000 LoC (Lines of Code) to a project?,Do you currently have a job in which you are being paid to program? ,Have you ever used processes such as SCRUM or pair programming?,Have you ever used Test Driven Development (TDD)?,How many lectures have you successfully completed in which programming was part of the curriculum? ,Please rate your agreement with the following statement: I really enjoy programming! ,Please rate your agreement with the following statement: I add comments to all of my code!,Which programming languages are you proficient in?  C,Which programming languages are you proficient in?  C,Which programming languages are you proficient in?  C++,Which programming languages are you proficient in?  Python,Which programming languages are you proficient in?  Ruby,Which programming languages are you proficient in?  Go,Which programming languages are you proficient in?  Pascal,Which programming languages are you proficient in?  Basic,Which programming languages are you proficient in?  Rust,Which programming languages are you proficient in?  Perl,Which programming languages are you proficient in?  PHP,Which programming languages are you proficient in?  JavaScript,Which programming languages are you proficient in?  R,Which programming languages are you proficient in?  Other (please specify),"Compared to your fellow students in this class, how many comments do you add to your code. ","Compared to your fellow students in this class, how would you judge your programming skills? ","Compared to professional programmers, how would you judge your programming skills? ",How proficient are you with the following operating systems? Please rate on a scale of 1 (not at all) to 7 (excellent).  Linux,How proficient are you with the following operating systems? Please rate on a scale of 1 (not at all) to 7 (excellent).  Linux,How proficient are you with the following operating systems? Please rate on a scale of 1 (not at all) to 7 (excellent).  Mac OS,How proficient are you with the following operating systems? Please rate on a scale of 1 (not at all) to 7 (excellent).  BSD,How proficient are you with the following operating systems? Please rate on a scale of 1 (not at all) to 7 (excellent).  Anderes,Please rate your agreement with the following statements. I find programming easy,Please rate your agreement with the following statements. I find programming easy,Please rate your agreement with the following statements. I often ask for help when programming,Please rate your agreement with the following statements. I only program if I have to,Please rate your agreement with the following statements. I often help other when I program,Please rate your agreement with the following statements. I often have to try for a long time to solve a programming problem,Please rate your agreement with the following statements. I often have problems programming,Please rate your agreement with the following statements. I often find programming frustrating,Please rate your agreement with the following statements. I sometimes find programming frustrating,How long does it take you to learn a new programming language?,How old were you when you programmed for the first time?,Where did you start learning to program? Other (please specify),Where did you start learning to program? Other (please specify),Where did you learn most of your programming skills? Other (please specify),Where did you learn most of your programming skills? Other (please specify),How many hours per week do you spend programming?,What does the abbreviation CPU stand for? This is an attention check question. Please select Central Processing Unifier as your answer to show that you have read the question carefully. ,Please rate how proficient you are in the following programming languages on a scale of 1 (not at all) to 7 (expert). C,Please rate how proficient you are in the following programming languages on a scale of 1 (not at all) to 7 (expert). C,Please rate how proficient you are in the following programming languages on a scale of 1 (not at all) to 7 (expert). C++,Please rate how proficient you are in the following programming languages on a scale of 1 (not at all) to 7 (expert). Python,Please rate how proficient you are in the following programming languages on a scale of 1 (not at all) to 7 (expert). Ruby,Please rate how proficient you are in the following programming languages on a scale of 1 (not at all) to 7 (expert). Go,Please rate how proficient you are in the following programming languages on a scale of 1 (not at all) to 7 (expert). Pascal,Please rate how proficient you are in the following programming languages on a scale of 1 (not at all) to 7 (expert). Basic,Please rate how proficient you are in the following programming languages on a scale of 1 (not at all) to 7 (expert). Rust,Please rate how proficient you are in the following programming languages on a scale of 1 (not at all) to 7 (expert). Perl,Please rate how proficient you are in the following programming languages on a scale of 1 (not at all) to 7 (expert). PHP,Please rate how proficient you are in the following programming languages on a scale of 1 (not at all) to 7 (expert). JavaScript,Please rate how proficient you are in the following programming languages on a scale of 1 (not at all) to 7 (expert). R,Please rate how proficient you are in the following programming languages on a scale of 1 (not at all) to 7 (expert). [Insert text from Other],Which programming languages are you planing to learn? C,Which programming languages are you planing to learn? C,Which programming languages are you planing to learn? C++,Which programming languages are you planing to learn? Python,Which programming languages are you planing to learn? Ruby,Which programming languages are you planing to learn? Go,Which programming languages are you planing to learn? Pascal,Which programming languages are you planing to learn? Basic,Which programming languages are you planing to learn? Rust,Which programming languages are you planing to learn? Perl,Which programming languages are you planing to learn? PHP,Which programming languages are you planing to learn? JavaScript,Which programming languages are you planing to learn? R,Which programming languages are you planing to learn? [Insert text from Other],Which programming languages are you planing to learn? Other (please specify),How many security lectures have you completed? ,Please rate how much you like the following movie genres Fantasy,Please rate how much you like the following movie genres Fantasy,Please rate how much you like the following movie genres Crime,Please rate how much you like the following movie genres Thriller,Please rate how much you like the following movie genres Romance,Please rate how much you like the following movie genres Comedy,Please rate how much you like the following movie genres Animated,How many hours per week do you exercise ? ,How many hours per week do you spend in front of your computer?
I consent,6,2,Average,Intermediate,Yes,No,0,No,Yes,No,No,No,5,5,Disagree,C,C,,Python,,,,,,,,,,,A bit less,A bit lower,Much lower,6,6,2,1 Not at all,,Slightly disagree,Slightly disagree,Mostly disagree,Completely disagree,Neutral,Mostly disagree,Neutral,Slightly disagree,Neutral,A few weeks,17,,,,,6,Central Processing Unifier,3,3,,5,,,,,,,,,,,,,,,,,,,,,,JavaScript,,,,2,Neutral,Neutral,Like,Like,Dislike strongly,Neutral,Like strongly,3,42
I consent,8,3,Good,Intermediate,No,No,0,No,No,No,No,No,4,5,Agree Strongly,C,C,,Python,,,,Basic,,,PHP,,,,About the same,About the same,A bit lower,5,5,2,2,,Neutral,Neutral,Mostly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Neutral,Slightly agree,A few weeks,14,,,,,4,Central Processing Unifier,5,5,,5,,,,4,,,4,,,,,,,,,,,,,,,,R,,,6,Like strongly,Like strongly,Like strongly,Like strongly,Neutral,Like,Neutral,4,14
I consent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I consent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I consent,5,5,Good,Intermediate,Yes,Yes,0,Yes,Yes,Yes,No,Yes,2,6,Neither Agree or Disagree,,,,,,,,,,,,JavaScript,,typescript,About the same,About the same,About the same,4,4,2,1 Not at all,,Slightly disagree,Slightly disagree,Neutral,Mostly disagree,Mostly agree,Neutral,Neutral,Neutral,Mostly agree,A few weeks,19,,,,,30,Central Processing Unifier,,,,,,,,,,,,5,,5,,,,,,,,,,,,,,,,2,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,10,75
I consent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I consent,1,2,Good,Intermediate,Yes,No,0,No,No,No,No,No,8,5,Agree Strongly,,,C++,Python,,,,,,,,,,,About the same,About the same,A bit lower,6,6,5,2,,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Neutral,Neutral,Slightly agree,Neutral,A few weeks,18,,,,,5,Central Processing Unifier,,,4,5,,,,,,,,,,,C,C,,,,,,,,,,JavaScript,,,,7,Like,Like,Like very strongly,Like strongly,Dislike strongly,Neutral,Like,4,32
I consent,8,4,Very good,Expert,Yes,Yes,0,Yes,Yes,Yes,Yes,No,7,7,Neither Agree or Disagree,C,C,C++,Python,,,,,,,PHP,JavaScript,,"C#, VBA, Solidity (Ethereum) ",About the same,Much better,About the same,7 Excellent,7 Excellent,6,1 Not at all,,Completely agree,Completely agree,Slightly agree,Completely disagree,Mostly agree,Completely disagree,Completely disagree,Completely disagree,Slightly agree,A few weeks,15,,,,,18,Central Processing Unit,5,5,3,5,,,,,,,5,7 Excellent,,4,,,,,,Go,,,,,,,R,,,2,Neutral,Neutral,Like strongly,Like very strongly,Dislike,Like,Neutral,6,20
I consent,6,4,Average,Intermediate,No,No,0,No,Yes,No,No,No,16,6,Agree,C,C,C++,Python,,,,,,,,JavaScript,,,More,About the same,Lower,6,6,1 Not at all,1 Not at all,,Neutral,Neutral,Mostly disagree,Mostly disagree,Neutral,Mostly agree,Mostly agree,Slightly disagree,Slightly agree,A few weeks,18,from my brother,from my brother,,,20,Central Processing Unifier,5,5,5,6,,,,,,,,4,,,,,,,Ruby,Go,,,,Perl,,,R,,Haskell,1,Like,Like,Like,Like very strongly,Neutral,Like,Like,3,50
I consent,4,4,Good,Intermediate,Yes,Yes,0,Yes,Yes,Yes,No,Yes,3,6,Disagree,,,,Python,,,,,,,,,,,About the same,About the same,Lower,5,5,3,1 Not at all,,Mostly agree,Mostly agree,Mostly disagree,Mostly disagree,Slightly agree,Mostly disagree,Mostly disagree,Completely disagree,Mostly disagree,A few months,15,,,,,20,Central Processing Unifier,,,,5,,,,,,,,,,,,,,,,,,,Rust,,,,,,,4,Like,Like,Neutral,Like very strongly,Neutral,Like,Dislike strongly,5,45
